# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25 159729 1697.11 3440.98  -0.48  -0.13  22.330  0.021  22.875  22.298  22.553   5.579   0.665 -24.826   6.493   0.556 -24.716  16.179   0.493 -24.391   0.948 0 0 1 
1236 25  28440  661.27 2909.14  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 25 187494  338.65 2719.87   0.31   0.22  23.573  0.042  23.573  23.476  23.634   2.802   0.913 -46.866   2.178   0.776 -59.194   2.237   0.756 -72.379   0.000 0 0 1 
1236 25  75854  546.49 1904.91  -0.02  -0.07  19.552  0.018  19.832  19.553  19.646   2.979   0.989 -66.893   2.869   0.924 -74.360   4.257   0.866 -70.784   1.000 0 4 1 
1236 25 125281 1968.33 1775.25   0.08   0.03  22.415  0.022  22.782  22.415  22.438   3.457   0.804  37.773   3.554   0.649  41.098   6.120   0.632  41.079   1.000 1061823289754596 0 1 
1236 25 142783  828.45 2218.18   0.13  -0.02  22.125  0.020  22.402  21.852  22.282   4.595   0.848 -36.110   5.149   0.787 -38.433  12.285   0.733 -41.194   0.555 0 0 1 
1236 25  94937 1993.43 2432.36   0.57  -0.40  22.085  0.020  22.674  22.018  22.403   6.427   0.538  78.665   8.001   0.413  78.808  22.334   0.355  79.625   0.919 1061823289754993 0 1 
1236 25  72935 1428.51 2249.80  -0.10  -0.49  20.677  0.018  20.933  20.629  20.805   4.125   0.691  69.824   4.465   0.514  69.020   7.240   0.461  66.971   0.844 0 0 1 
1236 25  97170  562.39   65.86  -0.04  -0.34  22.212  0.021  22.588  22.213  22.343   4.065   0.718 -61.591   4.554   0.547 -62.241   8.336   0.486 -61.833   1.000 0 0 1 
1236 25 186462  151.79 2717.47  -0.03  -0.10  20.367  0.018  20.679  20.357  20.490   3.556   0.808  44.319   3.727   0.674  46.342   6.015   0.643  45.817   0.977 1061823289755152 0 1 
1236 25  24389 1296.18 3252.03   0.03  -0.16  20.454  0.018  20.865  20.447  20.655   3.707   0.975 -29.067   3.969   0.971 -57.722   7.401   0.966 -58.721   0.980 0 0 1 
1236 25 136080  597.37 1351.16  -0.20   0.16  23.000  0.029  23.265  23.000     nan   3.461   0.894  53.011   3.082   0.880  51.779   4.479   0.858  24.655   1.000 1061823289754344 0 1 
1236 25 128866 1590.73 4081.04  -0.01  -0.16  21.549  0.019  21.788  21.503  21.666   3.342   0.905   0.014   3.130   0.862  -6.838   4.774   0.827 -15.279   0.830 1061823289755926 0 1 
1236 25 180706 1333.63 3432.64  -0.03  -0.09  19.903  0.018  20.173  19.907  19.998   3.217   0.895 -24.533   3.081   0.811 -30.899   4.455   0.776 -31.413   1.000 1061823289755568 0 1 
1236 25 111376  946.41  718.75  -0.02  -0.14  20.558  0.018  20.839  20.559  20.664   3.644   0.737 -79.269   3.903   0.524 -79.972   6.006   0.468 -79.905   1.000 0 0 1 
1236 25 127314  140.94   61.62  -0.02  -0.05  20.128  0.018  20.424  20.127  20.245   3.678   0.725 -73.261   3.990   0.520 -73.195   6.291   0.469 -72.063   1.000 1061823289753626 0 1 
1236 25    442 1415.70 4057.09  -0.22   0.03  23.069  0.030  23.073  22.961     nan   3.544   0.677  -9.255   3.248   0.428 -10.981   3.858   0.301 -11.950   0.004 0 0 1 
1236 25  48548  203.15 3489.35   0.08  -0.16  21.371  0.019  21.637  21.355  21.461   3.323   0.855 -31.617   3.247   0.728 -34.970   4.903   0.695 -34.470   0.947 0 0 1 
1236 25 143062  938.58  413.56  -0.20  -0.02  22.143  0.020  22.451  22.107  22.295   4.474   0.621 -61.387   5.053   0.413 -61.312   9.126   0.337 -61.369   0.902 0 0 1 
1236 25  27485  744.85 3980.96  -0.07   0.14     nan    nan     nan     nan     nan   3.522   0.640  48.320     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 25 142570  792.79 2833.67  -0.25  -0.25  22.689  0.024  22.967  22.583  22.707   3.733   0.845 -42.222   3.898   0.690 -48.795   7.506   0.575 -53.990   0.746 0 0 1 
1236 25 196651 1698.11 1407.26  -0.30   0.19  23.128  0.031  23.169  23.001  23.130   3.154   0.821 -17.783   2.690   0.631 -18.204   3.490   0.508 -17.797   0.252 0 0 1 
1236 25  43261 1218.36 3128.75   0.30  -0.99  23.483  0.037  23.753  23.244  23.679   4.327   0.776  76.132   4.655   0.641  75.447  10.719   0.549  72.247   0.576 0 0 1 
1236 25  20341 1132.09 3661.30   0.40  -0.29  23.131  0.031  23.276  23.141     nan   4.153   0.562 -40.355   4.273   0.249 -40.988   5.492   0.135 -39.766   1.000 0 0 1 
1236 25  76621  671.21 3364.16   0.15   0.18  22.254  0.021  22.485  22.199  22.337   3.390   0.858   9.877   3.281   0.745   8.245   5.166   0.669   6.712   0.813 1061823289755527 0 1 
1236 25  31247 1708.60 3846.12   0.09  -0.32  22.834  0.026  23.170  22.727  23.137   3.979   0.829  23.438   4.180   0.714  25.301   8.533   0.652  19.033   0.777 0 2 1 
1236 25 105339  244.72 3985.70  -0.10  -0.21  21.217  0.019  21.824  21.214  21.568   5.295   0.757  50.399   6.584   0.689  52.944  16.547   0.661  54.601   0.995 0 0 1 
